Case id,Activity,Timestamp
c2812d94-73f4-45ed-a24a-b96bd10bcec6_1,Ceteris Paribus,2024-04-11 09:23:41
c2812d94-73f4-45ed-a24a-b96bd10bcec6_1,Feature Ranges,2024-04-11 09:23:48
c2812d94-73f4-45ed-a24a-b96bd10bcec6_2,Ceteris Paribus,2024-04-11 09:24:22
c2812d94-73f4-45ed-a24a-b96bd10bcec6_2,Feature Ranges,2024-04-11 09:24:25
c2812d94-73f4-45ed-a24a-b96bd10bcec6_3,Ceteris Paribus,2024-04-11 09:25:17
c2812d94-73f4-45ed-a24a-b96bd10bcec6_3,Feature Ranges,2024-04-11 09:25:23
c2812d94-73f4-45ed-a24a-b96bd10bcec6_4,Ceteris Paribus,2024-04-11 09:25:54
c2812d94-73f4-45ed-a24a-b96bd10bcec6_4,Feature Ranges,2024-04-11 09:25:59
c2812d94-73f4-45ed-a24a-b96bd10bcec6_5,Ceteris Paribus,2024-04-11 09:26:27
c2812d94-73f4-45ed-a24a-b96bd10bcec6_5,Feature Ranges,2024-04-11 09:26:29
c2812d94-73f4-45ed-a24a-b96bd10bcec6_6,Ceteris Paribus,2024-04-11 09:26:51
c2812d94-73f4-45ed-a24a-b96bd10bcec6_6,Feature Ranges,2024-04-11 09:26:56
c2812d94-73f4-45ed-a24a-b96bd10bcec6_7,Ceteris Paribus,2024-04-11 09:27:30
c2812d94-73f4-45ed-a24a-b96bd10bcec6_7,Feature Ranges,2024-04-11 09:27:32
c2812d94-73f4-45ed-a24a-b96bd10bcec6_8,Ceteris Paribus,2024-04-11 09:27:52
c2812d94-73f4-45ed-a24a-b96bd10bcec6_8,Feature Ranges,2024-04-11 09:27:53
c2812d94-73f4-45ed-a24a-b96bd10bcec6_9,Ceteris Paribus,2024-04-11 09:28:29
c2812d94-73f4-45ed-a24a-b96bd10bcec6_9,Feature Ranges,2024-04-11 09:28:35
c2812d94-73f4-45ed-a24a-b96bd10bcec6_10,Ceteris Paribus,2024-04-11 09:28:54
c2812d94-73f4-45ed-a24a-b96bd10bcec6_10,Feature Ranges,2024-04-11 09:28:59
aef41cbe-fd81-45e9-b6da-9cc499ffbeac_1,Most Important Features,2024-04-11 10:00:33
aef41cbe-fd81-45e9-b6da-9cc499ffbeac_1,Least Important Features,2024-04-11 10:00:47
aef41cbe-fd81-45e9-b6da-9cc499ffbeac_1,Feature Attributions,2024-04-11 10:00:58
aef41cbe-fd81-45e9-b6da-9cc499ffbeac_2,Anchors,2024-04-11 10:02:13
aef41cbe-fd81-45e9-b6da-9cc499ffbeac_2,Ceteris Paribus,2024-04-11 10:02:29
aef41cbe-fd81-45e9-b6da-9cc499ffbeac_2,Ceteris Paribus,2024-04-11 10:02:29
aef41cbe-fd81-45e9-b6da-9cc499ffbeac_6,Counterfactuals,2024-04-11 10:04:47
aef41cbe-fd81-45e9-b6da-9cc499ffbeac_8,Feature Attributions,2024-04-11 10:07:28
4cc96efc-b412-4b00-932f-7c4d627cd3cf_1,Most Important Features,2024-04-11 09:35:29
4cc96efc-b412-4b00-932f-7c4d627cd3cf_1,Least Important Features,2024-04-11 09:35:41
4cc96efc-b412-4b00-932f-7c4d627cd3cf_1,Feature Attributions,2024-04-11 09:35:46
4cc96efc-b412-4b00-932f-7c4d627cd3cf_1,Ceteris Paribus,2024-04-11 09:35:57
4cc96efc-b412-4b00-932f-7c4d627cd3cf_1,Ceteris Paribus,2024-04-11 09:35:57
4cc96efc-b412-4b00-932f-7c4d627cd3cf_1,Feature Ranges,2024-04-11 09:36:05
4cc96efc-b412-4b00-932f-7c4d627cd3cf_1,Feature Ranges,2024-04-11 09:36:05
4cc96efc-b412-4b00-932f-7c4d627cd3cf_2,Most Important Features,2024-04-11 09:36:41
4cc96efc-b412-4b00-932f-7c4d627cd3cf_2,Ceteris Paribus,2024-04-11 09:36:54
4cc96efc-b412-4b00-932f-7c4d627cd3cf_2,Ceteris Paribus,2024-04-11 09:36:54
4cc96efc-b412-4b00-932f-7c4d627cd3cf_2,Ceteris Paribus,2024-04-11 09:37:07
4cc96efc-b412-4b00-932f-7c4d627cd3cf_2,Ceteris Paribus,2024-04-11 09:37:11
